GENERAL-AREA,LOCAL-AREA,HIKE,DIFFICULTY,DISTANCE,ELEVATION-CHANGE,NOTES
Washington County,Banks/Forest Grove Area,Killin Wetlands Loop Hike,Easy,0.7,60,"Short loop in a Metro nature park above a ""beaverdam"" wetland"
Washington County,Banks/Forest Grove Area,Fernhill Wetlands Loop Hike,Easy,2.3,40,Loop around recently transformed wastewater treatment cells with a riot of birdlife
Washington County,Banks/Forest Grove Area,Hagg Lake Loop Hike,Moderate,13.5,520,Hike through forest and creek valleys around a foothills reservoir
Willamette Valley Area,Willamette Valley State Parks,Erratic Rock Hike,Easy,0.5,110,Short stroll on a paved trail to a large glacial erratic surrounded by farmland
Willamette Valley Area,Willamette Valley State Parks,Fort Yamhill Loop Hike,Easy,0.5,100,Interpretive loop around the site of a mid-19th century military outpost
Willamette Valley Area,Willamette Valley State Parks,Champoeg Loop Hike,Easy,3.4,120,Hike Oregon's early settler history along the Willamette
Willamette Valley Area,Willamette Valley State Parks,Champoeg to Butteville Hike,Easy,5.8,300,Walk through lush forest to a historic store
Willamette Valley Area,Willamette Valley State Parks,Willamette Mission Loop Hike,Easy,2.6,20,"Explore a historic mission site, oxbow lakes, and riparian woods; longer loop possible"
Willamette Valley Area,Willamette Valley State Parks,Spring Valley Loop Hike,Easy,3.9,135,This new state park on the Willamette River Greenway has several short trails
Willamette Valley Area,Willamette Valley State Parks,Luckiamute Landing Hike,Easy,4,50,Hike in forest and past open fields to a campsite on the Willamette
Willamette Valley Area,Willamette Valley State Parks,Luckiamute Wetland Hike,Easy,1.1,45,See large oaks and basking turtles in this valley state park
Willamette Valley Area,Willamette Valley Wildlife Refuges,Morgan Lake Loop Hike,Easy,2.5,40,Seasonal wildlife refuge hike around marshes and open fields
Willamette Valley Area,Willamette Valley Wildlife Refuges,Baskett Butte Loop Hike,Easy,2.1,260,Loop around a low hill in oak woodland and open grassland
Willamette Valley Area,Willamette Valley Wildlife Refuges,Rail Trail Loop Hike,Easy,3.9,10,"Hike boardwalks, dikes, and woodland in Ankeny National Wildlife Refuge"
Willamette Valley Area,Willamette Valley Wildlife Refuges,Coffin Butte Hike,Easy,1.7,445,Hike up through oaks and madrones to get views across the Willamette Valley
Willamette Valley Area,Willamette Valley Wildlife Refuges,E.E. Wilson Loop Hike,Easy,1.2,20,Interpretive trail to a fishing pond at the site of Camp Adair
Willamette Valley Area,Willamette Valley Wildlife Refuges,Snag Boat Bend Loop Hike,Easy,3.2,40,Trails around an oxbow lake on the east bank of the Willamette
Willamette Valley Area,Willamette Valley Wildlife Refuges,Woodpecker Loop Hike,Easy,1.2,105,Loop hike on forested hill in the William Finley Wildlife Refuge
Willamette Valley Area,Willamette Valley Wildlife Refuges,Mill Hill Loop Hike,Easy,2.8,110,Hike to a secluded creek with wildflowers in the spring
Willamette Valley Area,Willamette Valley Wildlife Refuges,Finley Refuge Loop Hike,Moderate,8.4,455,"After April 1st, walk around forest, meadows, marshes, and historic farm buildings"
Willamette Valley Area,Willamette Valley Wildlife Refuges,Pigeon Butte Loop Hike,Moderate,6.4,355,"Seasonal loop around wetlands, open fields, and oak woods"
Willamette Valley Area,Yamhill County,Hess Creek Canyon Loop Hike,Easy,1.5,85,Follow a creek along a wooded canyon in Newberg
Willamette Valley Area,Yamhill County,Chehalem Glenn Loop Hike,Easy,4.1,320,"Take trails and sidewalks around a golf course, passing through wooded areas"
Willamette Valley Area,Yamhill County,Ewing Young Loop Hike,Easy,1.4,110,Loop to Chehalem Creek on the southern outskirts of Newberg
Willamette Valley Area,Yamhill County,Harvey Creek Loop Hike,Easy,1.6,345,Wooded trail to a pioneer cemetery in wine country
Willamette Valley Area,Yamhill County,Guadalupe Loop Hike,Easy,3.9,815,Loop hike through forest and oak savanna at a Trappist abbey
Willamette Valley Area,Yamhill County,Tice Woods Loop Hike,Easy,1.3,85,Loop around wetlands and woods on Baker Creek in McMinnville
Willamette Valley Area,Yamhill County,Airport Park Loop Hike,Easy,1.4,30,Short loop with whimsical artwork next to McMinnville's airport
Willamette Valley Area,Yamhill County,Joe Dancer Loop Hike,Easy,2.2,45,Take a trail around a bend in the South Yamhill River
Willamette Valley Area,Yamhill County,Westside Greenway Hike,Easy,5.2,130,Paved trails through open spaces on the west side of McMinnville
Willamette Valley Area,Yamhill County,Miller Woods Loop Hike,Moderate,4.7,560,Walk through pasture and forest at an old country farm near McMinnville
Willamette Valley Area,Canby Area,Canby Logging Road Hike,Easy,7.3,90,A repurposed old haul road takes you to the Willamette River and then 3 1/2 miles south
Willamette Valley Area,Canby Area,Molalla River State Park Hike,Easy,2.5,95,Walk to the confluence of the Molalla and Willamette Rivers; may be flooded at times
Willamette Valley Area,Canby Area,Hopkins Forest Loop Hike,Easy,3.3,715,Loop around an old tree farm with forest plots in various stages of development
Willamette Valley Area,Woodburn,Mill Creek Greenway Hike,Easy,3.4,45,Trail on the east side of Woodburn connecting wetlands and green spaces
Willamette Valley Area,Salem Area,Keizer Rapids Loop Hike,Easy,2.4,55,Loop through lush woods to the Beardsley Bar on the Willamette River
Willamette Valley Area,Salem Area,Salem Riverfront Hike,Easy,4.1,45,Use a converted railroad bridge to connect to Salem's Riverfront and Wallace Marine Parks
Willamette Valley Area,Salem Area,Minto-Brown Island Loop Hike,Easy,9.3,45,Enjoy a network of trails in this large park on the Willamette Floodplain
Willamette Valley Area,Salem Area,Bush's Pasture Loop Hike,Easy,2.2,60,Visit two historic homes and stroll through an oak parkland near Pringle Creek
Willamette Valley Area,Salem Area,Croisan Creek Hike,Easy,4.5,650,Hike above Croisan Creek through wooded areas connected by short stretches of road
Willamette Valley Area,Scotts Mills Area,Abiqua Falls Hike,Moderate,1,180,A short steep hike to the base of an impressive waterfall.
Willamette Valley Area,Scotts Mills Area,Butte Creek Falls Loop Hike,Easy,1.1,320,An easy loop to two beautiful waterfalls.
Willamette Valley Area,Silver Falls State Park,Trail of Ten Falls Loop Hike,Moderate,7.8,1300,Hike to all ten of the waterfalls in Silver Falls State Park
Willamette Valley Area,Silver Falls State Park,Silver Falls Upper Loop Hike,Moderate,3.6,380,Loop to the upper waterfalls on the North Fork Silver Creek
Willamette Valley Area,Silver Falls State Park,Silver Falls Lower Loop Hike,Moderate,4.8,670,Seven beautiful waterfalls in less than five miles
Willamette Valley Area,Silver Falls State Park,Maple Ridge Loop Hike,Easy,2.6,370,Shortest loop in the park visits two major waterfalls
Willamette Valley Area,Silver Falls State Park,Silver Falls Perimeter Loop Hike,Difficult,16.8,2470,"Long, forested backcountry loop from the North Falls Trailhead"
Willamette Valley Area,Silver Falls State Park,Howard Creek Loop Hike,Easy,3.1,280,Loop under tall old-growth Douglas-firs and along Smith Creek
Willamette Valley Area,Silver Falls State Park,Buck Mountain Loop Hike,Moderate,8.1,990,"Loop from old-growth to mostly secondary forest, mainly on old logging roads"
Willamette Valley Area,Silver Falls State Park,Smith Creek Loop Hike,Moderate,9,1420,Loop up into forested hillsides and then skirt the bottomlands of Smith Creek
Willamette Valley Area,Albany,Cox Creek to Talking Waters Hike,Easy,2.8,50,Take the Cox Creek Trail from Waverly Lake to Talking Water Gardens
Willamette Valley Area,Albany,Albany Riverfront Hike,Moderate,6.8,60,Use trails and streets to hike along the Willamette from the Calapooia River to Second Lake
Willamette Valley Area,Albany,Takena Landing Hike,Easy,3.4,65,Walk in riparian woodland on the north bank of the Willamette
Willamette Valley Area,McDonald Research Forest,Peavy Arboretum Loop Hike,Easy,3.2,190,"Trees are labeled along some of these trails, and spring wildflowers brighten up leafy woods"
Willamette Valley Area,McDonald Research Forest,Calloway Creek Loop Hike,Easy,4.1,330,Pleasant loop through mossy woods and forest research plots with interpretive signs
Willamette Valley Area,McDonald Research Forest,Section 36-Powder House Loop Hike,Moderate,4.8,880,Loop through various stages of forest growth and research plantations; abundant wildflowers in the spring
Willamette Valley Area,McDonald Research Forest,Lewisburg Saddle Old Growth Hike,Easy,2,240,Hike through a research area with 30-year-old trees and then admire some large Douglas-firs
Willamette Valley Area,McDonald Research Forest,Vineyard Mountain Loop Hike,Easy,3.6,585,Hike up a ridge to a historic cabin on Vineyard Mountain; return via a forest road
Willamette Valley Area,McDonald Research Forest,Sulphur Springs via Alpha Trail Hike,Moderate,5.4,1055,Hike through ridge top old growth and then downhill to a historic curative spring
Willamette Valley Area,McDonald Research Forest,McCulloch Peak Loop Hike,Moderate,7.1,1605,Hike mostly on gated forest roads to the highest point in the McDonald Research Forest
Willamette Valley Area,McDonald Research Forest,Dan's Trail Loop Hike,Moderate,9.6,1865,Double loop through a varied woodland to a viewpoint atop Dimple Hill
Willamette Valley Area,McDonald Research Forest,Oak Creek Loop Hike,Moderate,5.4,750,Loop hike through mixed forest in the Oak Creek drainage
Willamette Valley Area,Corvallis Area,Corvallis Riverfront Hike,Easy,2.2,20,Interpretive walk along the Willamette Riverfront in Corvallis
Willamette Valley Area,Corvallis Area,Jackson-Frazier Wetland Loop Hike,Easy,0.8,0,Short boardwalk and interpretive hike around a restored wetland
Willamette Valley Area,Corvallis Area,Martin Luther King Park Loop Hike,Easy,2.2,230,Hike slopes and ash swales on a tributary of Oak Creek
